TCGA.A7.A0CE.11	TCGA.A7.A0CH.11	TCGA.A7.A0D9.11	TCGA.A7.A0DB.11	TCGA.A7.A13E.11	TCGA.A7.A13F.11	TCGA.A7.A13G.11	TCGA.AC.A23H.11	TCGA.AC.A2FB.11	TCGA.AC.A2FF.11	TCGA.A1.A0SK.01	TCGA.A1.A0SP.01	TCGA.A2.A04P.01	TCGA.A2.A04Q.01	TCGA.A2.A04T.01	TCGA.A2.A04U.01	TCGA.A2.A0CM.01	TCGA.A2.A0D0.01	TCGA.A2.A0D2.01	TCGA.A2.A0ST.01	TCGA.A2.A0SX.01
ABHD11-AS1	5.3968	12.788	5.6008	11.3402	1.9516	15.2672	2.44	1.4313	9.0205	3.9123	0	1.8242	11.9295	12.3409	14.6049	0	25.3836	0.8237	5.5443	13.2606	3.2113
ABHD12	1099.3651	1466.8547	1044.2974	1492.268	834.794	797.0364	723.4648	778.9606	945.3464	859.8647	1707.5323	1532.6523	3070.0207	1686.8492	1138.4856	884.7902	1022.2684	1923.3937	2691.9239	852.9569	1521.5157
ABHD12B	2.8571	7.5223	22.9124	1.5464	9.2701	12.573	13.8268	5.725	5.1116	2.7945	1.891	21.525	0	0	0.6955	0	0	7.0016	0.3696	0.4278	4.817
ABHD13	498.0952	428.7729	382.3829	480.9278	432.2779	404.5802	646.1976	644.0648	508.4544	519.7752	940.4349	394.3816	356.3278	369.8419	1107.5372	164.1772	295.3733	295.7166	565.1451	508.6087	576.1079
ABHD14A	320.3175	452.0921	391.9196	290.8041	445.4658	373.7494	400.976	363.9395	309.7032	238.9429	84.1475	104.1153	431.0166	203.2395	96.4375	236.7113	79.3816	239.3781	126.0395	180.0877	106.1529
ABHD14B	2236.1905	3472.3084	3557.5356	2933.5052	3210.3708	3479.5689	4353.3957	2892.9242	2638.19	1922.6094	171.4466	495.4396	1459.5436	1045.5071	669.0429	1077.023	679.3585	1011.5321	1066.7159	1385.0925	727.3603
ABHD15	360.3175	868.8293	1525.4582	1088.1443	1071.9125	785.3615	2986.1732	372.1263	505.1469	311.8651	65.2379	191.9008	168.0498	378.3263	104.6683	77.4127	176.7624	72.8995	111.6245	306.2774	437.7007
ABHD16A	1144.127	916.9723	517.8208	715.4639	689.4003	665.4692	435.9496	529.2065	678.0395	896.4725	825.717	543.5972	921.1618	1136.9071	2011.6491	430.7053	1214.261	605.8484	1180.9277	1305.9566	571.6121
ABHD16B	87.3016	138.787	35.1324	44.8454	41.9593	52.537	27.2468	19.6798	42.9976	49.4625	28.0492	79.8978	173.2365	85.2295	40.3373	29.6142	48.4597	90.1977	24.7644	87.2634	69.6853
ABHD17A	554.9206	663.4697	407.8411	357.732	440.0843	354.7373	322.0821	244.3868	423.9626	342.3251	237.63	475.7388	345.4357	266.8723	170.7381	551.76	203.0691	342.6689	300.8686	460.2716	298.3301
ABHD17B	246.0317	263.6577	233.7067	276.8041	289.8116	284.6879	317.2021	393.2373	318.423	395.6998	641.3489	381.9774	621.3693	291.5542	243.4148	767.3724	265.3744	271.0049	305.6736	349.9091	364.483
ABHD17C	248.254	193.3239	65.6823	71.6495	145.3937	197.1262	89.8739	227.5696	222.8059	471.1511	639.7731	612.5502	551.3485	591.9784	933.6695	731.5236	455.9825	717.0511	641.2863	475.6711	240.8478
ABHD2	2079.3651	2360.8839	2742.8717	2570.6186	2808.8305	2853.1657	2395.2826	4352.8044	3136.4212	4171.6152	8007.879	2304.6333	1139.5228	1991.13	2990.8719	457.2022	2039.46	1233.9374	3289.5953	2700.8876	3206.1657
ABHD3	341.5873	460.3667	272.9124	436.0825	338.1135	213.7405	587.6373	235.7993	233.0291	335.8977	510.873	658.154	347.5104	328.9626	457.6198	271.7236	488.2889	197.2817	250.9702	303.7108	257.5466
ABHD4	870.4762	1226.1401	2185.8452	1259.2784	1453.449	1035.0247	1063.4404	1099.2039	1028.6355	731.3181	301.2922	282.3787	879.668	1136.1358	557.4198	952.851	580.5931	470.346	903.345	567.6398	983.9435
ABHD5	916.5079	893.653	1917.0061	1251.0309	998.7278	1327.3462	5661.2444	1316.039	811.8433	918.2695	395.2096	607.0777	1577.8008	564.597	658.9585	479.5428	623.976	411.8616	547.0338	589.0279	792.8709
ABHD6	172.0635	430.6535	552.9532	492.7835	563.0346	355.1863	744.6116	234.7258	354.8056	236.9728	38.7646	119.2995	60.166	96.4134	37.5554	74.2954	66.9205	151.1532	42.8756	101.3795	107.5787
ABHD8	332.0635	278.7024	134.9287	135.567	160.0306	145.0382	145.9943	178.5491	227.3161	202.88	322.723	67.1288	1005.1867	223.6791	176.6496	1231.3287	51.6903	241.3509	400.6653	163.405	265.5748
ABI1	1177.0317	1125.6869	1145.112	1464.433	1313.9101	1333.6327	1291.1753	1856.8244	1648.2433	1632.2367	1193.8229	1062.9442	1438.6255	2501.1415	1770.1539	915.9112	2426.5374	967.7595	1504.9159	2352.7323	2517.2672
ABI2	1523.1746	940.6676	648.167	796.3918	1104.6017	1411.3157	957.7064	2499.3291	1715.0941	2197.0283	4523.4794	3016.7822	394.7095	998.0717	2089.8896	2864.7876	777.2009	1627.2652	1438.5511	1232.8093	2165.061
ABI3	350.1587	269.6756	150.7128	207.2165	145.8816	132.9142	57.7471	145.988	243.553	316.0569	36.8736	204.6698	270.7469	612.0324	149.1785	120.0156	215.0687	205.1071	244.6867	669.0194	252.0873
