TCGA.A7.A0CE.11	TCGA.A7.A0CH.11	TCGA.A7.A0D9.11	TCGA.A7.A0DB.11	TCGA.A7.A13E.11	TCGA.A7.A13F.11	TCGA.A7.A13G.11	TCGA.AC.A23H.11	TCGA.AC.A2FB.11	TCGA.AC.A2FF.11	TCGA.A1.A0SK.01	TCGA.A1.A0SP.01	TCGA.A2.A04P.01	TCGA.A2.A04Q.01	TCGA.A2.A04T.01	TCGA.A2.A04U.01	TCGA.A2.A0CM.01	TCGA.A2.A0D0.01	TCGA.A2.A0D2.01	TCGA.A2.A0ST.01	TCGA.A2.A0SX.01
SOX8	66.6667	50.3996	12.7291	40.2062	25.8586	154.4679	9.3534	108.4176	72.1638	173.5379	249.6061	636.629	112.0332	40.4936	690.6025	130.9261	198.4539	25.9473	127.8876	189.0707	9.6339
SOX9	1937.1429	1676.7278	184.8269	96.9072	621.0945	1987.427	214.7214	3485.4638	2406.063	2302.3806	2073.4321	8278.0007	12377.0747	6111.4539	2202.9036	2768.1517	6590.5157	3178.3361	2014.4151	2965.2444	4815.0289
SP1	2442.2222	2588.4344	3689.9185	3305.1546	3256.7211	3513.2465	4975.5998	4822.6138	3277.4414	3786.5345	3817.838	2396.9354	2233.4025	2696.8762	2820.1339	1753.4745	2613.5918	2276.771	2246.9045	3091.0063	4182.0809
SP100	2060	1556.7466	2050.4073	2083.5052	1803.76	1766.053	2464.8231	1943.6443	1854.3102	1505.6714	199.8109	813.5717	1960.0622	2370.9988	529.9487	709.183	2113.3033	1443.1631	787.2852	3615.87	3276.1721
SP110	734.2857	473.1547	484.2159	449.4845	518.148	468.3431	593.7373	588.2458	561.3746	447.3979	90.1355	290.7698	951.7635	929.811	282.7089	142.3562	1030.5757	488.8797	277.9523	1452.6789	1058.4457
SP140	48.254	116.22	24.9491	35.0515	23.4191	41.3112	14.6401	31.1298	37.886	99.7913	3.7819	51.4411	200.7261	574.2383	178.0405	10.391	245.9905	61.3674	111.2549	807.6142	304.7527
SP140L	318.4127	322.3319	358.4521	363.4021	322.9887	353.8392	336.3156	303.4261	331.9537	355.4312	19.5399	243.3418	290.4564	675.2796	84.152	110.6637	316.1417	255.3542	155.2393	729.3338	408.1567
SP2	721.5873	723.2722	633.9104	454.1237	766.9761	775.9317	621.3908	745.3261	832.8911	714.2717	760.1639	446.1875	228.2158	772.4643	629.7488	721.1326	605.5152	489.2916	686.3796	580.0449	757.8677
SP3	1546.9841	1391.2553	1850.3055	1911.3402	1958.9116	1787.6066	2290.3619	2541.9089	2280.6783	2673.4889	3936.0227	2527.5447	1445.5394	2165.4454	4466.3131	1298.87	2722.5107	1633.4432	1399.002	2319.3241	3464.9968
SP4	146.6667	124.1185	156.3136	166.4948	196.1351	247.4181	282.6352	367.1169	244.1544	293.4215	664.3555	214.8851	141.0788	200.9256	167.9562	31.6924	272.7587	122.7348	214.7477	303.7108	337.8292
SP5	21.5873	54.1608	20.3666	27.3196	11.7096	22.9008	6.5067	40.0751	40.2915	21.797	2.2061	8.0263	11.9295	340.9179	3.4774	29.0947	1.8461	1.2356	0.3696	56.4645	51.3809
SP6	314.2857	141.4198	24.9491	18.5567	46.8382	154.0189	2.44	184.9897	205.9676	354.0619	980.4601	916.4538	66.39	260.3162	48.3352	87.8036	151.3788	385.0906	174.4594	949.2033	159.6018
SP7	0.9524	0.7522	3.055	2.0619	4.879	1.7961	0.4067	0.3578	0.6014	1.3972	0	0	1.0373	0.3857	0.3477	0	18.4608	0	0.3696	0.8555	0
SP8	0	0	0	0	0	0	0	0	0	0	0.9455	0.7297	0	0	0	0	0	0.4119	0	0	0.6423
SP9	0	0.7522	0	0.5155	0	0.449	0	0	2.7061	0	8.8245	5.8373	0	3.0852	9.0411	0.5195	0.4615	0	0.3696	0	0
SPA17	247.9365	128.6319	49.8982	53.6082	109.2892	56.5784	22.7735	110.5645	131.699	163.4777	275.4491	144.108	245.8506	113.3822	74.0676	58.7089	110.3034	79.0774	180.7429	47.0538	78.3558
SPACA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPACA3	0	0	0	0	0	0	0	0	0	0.2794	0.3152	0	0	1.157	0	0	0	0	0	0	0
SPACA4	2.2222	1.1283	0	0.5155	0.9758	0.8981	0	0.3578	1.2027	3.3534	0.9455	0	1.0373	3.0852	0	0.5195	0.4615	1.2356	0	2.1388	0
SPACA5	0.6349	0	0	0	1.9516	0	0.4067	0	0.3007	0.8383	0	0.3648	0	0.3857	0.6955	0	0	0	0	0	0
SPACA6P	99.6825	59.0503	90.6314	73.7062	53.6688	75.4378	47.1736	36.1392	61.9346	37.7256	35.9281	27.3623	170.6276	60.162	36.8599	47.7984	52.6134	80.7208	106.4498	22.2436	35.3243
SPACA7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPAG1	253.6508	133.5214	97.7597	64.9485	150.7606	72.2946	60.5937	119.152	120.8744	142.2396	279.5462	913.5352	256.2241	337.0613	200.991	442.6549	215.9917	179.5717	328.5899	127.9008	598.587
SPAG11A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPAG11B	0	0	0	0	0	0	0	0	0	0.5589	0	0	0	0	0	0	0	0	0	0	0
SPAG16	345.3968	321.2036	334.0122	261.8557	307.8638	299.5061	444.4896	422.578	368.0356	299.5694	579.8928	414.0825	384.8548	59.7763	174.2154	507.0788	46.6136	84.4316	160.7836	183.5098	349.3899
SPAG17	33.0159	22.9431	319.7556	90.2062	36.5924	33.6776	35.7869	118.0785	55.6263	39.9612	5.0425	2.9186	9.3361	2.3139	2.0864	21.3015	0.923	2.4712	0.3696	3.8499	12.8452
SPAG4	56.1905	62.8115	9.165	5.1546	13.1733	30.5344	11.7934	23.2579	42.6969	36.3284	7.879	34.2941	46.6805	113.7678	15.3004	30.1338	37.8447	40.7743	32.1567	169.8214	57.1612
SPAG5	155.3111	114.7156	109.4705	188.6598	74.6484	89.8069	74.8272	78.3612	83.5898	255.4639	1565.7107	896.753	788.9004	691.0914	1131.1832	1251.5911	1080.42	1935.3377	1419.1979	652.7644	731.5511
SPAG6	54.2857	11.2835	1.5275	1.0309	13.6612	1.7961	0.8133	3.5781	47.5079	39.4023	0	0.3648	1.0373	3.0852	2.0864	0	2.3076	3.7068	0.3696	11.5496	61.3359
SPAG7	976.8254	862.4354	788.1874	670.6186	539.6155	760.6646	460.7564	407.1921	661.8026	675.7078	553.7346	715.0675	1002.0747	824.1419	1046.3357	468.1127	501.2115	564.6623	496.3962	751.5774	658.9595
SPAG8	36.1905	46.6385	21.8941	15.4639	20.0038	24.2479	11.3867	19.6798	17.4396	12.2958	2.5213	8.3911	7.2614	17.7401	3.8251	29.0947	3.6922	0.4119	4.4354	12.8329	9.955
SPAG9	1509.8413	1736.5303	3118.6354	3384.0206	2769.7986	2534.8002	4153.3144	2981.3042	2433.7258	2460.5488	2345.0993	1549.7993	850.6224	1644.4273	1519.2558	1317.5737	2077.7662	838.1384	1782.6649	1770.5058	2241.49
SPAM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3696	0	0
SPANXA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4119	0	0	0
SPANXC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPANXN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPANXN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPANXN3	0	0	0	0	0	0	0	0	0	0	0.3152	1.0945	0	0	1.0432	0	0.923	0	0.3696	0	0
SPANXN4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPANXN5	0	0	0	0	0	0	0	0	0	0	0.3152	0	0	0	0	0	0	1.2356	0	0	0
SPARC	27634.9206	66597.4612	170124.2363	86863.4021	104148.7212	81451.7288	79226.9215	49422.6675	47711.1281	32506.9094	14520.3278	28487.0485	56155.083	31591.2071	10529.0794	41177.2958	55759.0862	14876.8534	38347.0708	16401.6683	50805.0739
SPARCL1	20317.4603	17725.2468	20632.8921	22457.2165	22882.4299	19052.9861	22596.1773	17561.4992	25416.408	19898.7277	615.821	1312.6596	2915.9751	4485.538	3085.1082	1294.1941	1394.2541	380.5601	2570.6893	8148.0056	3287.4117
SPAST	367.619	437.4236	335.5397	492.7835	463.5034	410.4176	534.7702	590.0349	541.8302	576.2239	1472.7387	871.5797	480.8091	580.7944	791.098	471.7496	604.5921	715.8155	492.3304	662.6029	1071.9332
SPATA12	3.4921	6.0179	6.6191	4.6392	2.9274	2.6942	1.22	7.1563	3.0068	11.178	1.2606	5.8373	9.8548	9.2557	3.8251	20.7819	3.6922	2.0593	7.0227	15.8272	37.5723
SPATA13	349.0603	200.4701	255.6008	277.8351	409.3467	544.2299	145.9943	379.8229	374.3349	636.0176	1120.3435	344.7464	140.5602	170.4589	874.0885	28.0556	342.9099	66.2809	99.4271	556.9458	961.2813
SPATA16	0	0	0	0	0	0	0	0	0	0	0	0	0.5187	0	0	0	0	0	0	0	0
SPATA17	39.6825	20.3103	0.5092	5.1546	5.8548	13.471	1.22	19.3219	21.9498	26.5477	24.2673	59.8322	28.527	48.2067	31.9917	26.4969	33.691	20.5931	37.3314	5.1331	35.0032
SPATA18	473.9683	327.5976	280.5499	158.7629	536.2002	508.7562	283.0419	636.9085	483.1971	528.997	37.5039	16.7822	75.2075	192.0555	244.458	262.3717	31.8449	51.8946	94.6221	136.456	53.3076
SPATA19	0	0	0	0	0	0	0	0	0	0	0	6.5669	0	0	0	0	0	0	0	0	0
SPATA2	452.0635	459.2384	245.4175	238.1443	350.7989	329.1423	248.0683	351.0153	435.0879	426.7187	350.7721	548.34	303.4232	494.0224	629.401	922.7172	682.5891	652.3888	534.4668	412.7901	490.045
SPATA20	1053.9683	1365.3032	577.9022	795.3608	1019.7074	753.031	969.0931	819.7513	1086.6673	970.5908	262.8427	317.0376	230.5135	234.0918	234.3736	494.6097	340.6023	598.8468	355.2467	528.4355	542.0681
SPATA21	0	0	0	0	0	0.449	0	0.3578	0	0.6623	0.3152	0	0	0.4821	0	0	0	0	0	0.4278	0.3693
SPATA22	1.454	11.5393	24.8523	21.6804	11.4998	7.2878	36.2546	0.8051	8.1756	0.2794	0	1.0945	3.0239	0	180.5338	0	1.3846	0	0	0	2.3121
SPATA24	40	25.1998	17.3116	18.0412	22.4433	39.9641	31.7202	24.3313	32.7744	38.2845	8.8245	12.4042	49.2739	37.4084	23.646	34.8097	34.1525	56.8369	19.9593	38.4986	24.727
SPATA25	4.7619	4.1373	2.5458	13.4021	2.4395	6.2865	4.4734	2.1469	2.1048	3.9123	8.5093	2.5538	1.556	3.4709	3.4774	8.3128	5.9998	2.4712	2.5873	3.4221	6.1015
SPATA2L	254.9206	255.0071	79.4297	73.1959	60.9873	114.9529	43.5136	45.8002	119.371	183.0391	96.1235	232.7618	445.5394	148.091	259.0629	136.6411	191.9926	128.5008	439.1055	207.8922	167.3089
SPATA3	0	1.1283	0	0	0	0	0	0.3578	0	2.515	0	0	2.0747	0	21.2119	1.5586	0.4615	0	0	0	0.9634
SPATA31A3	0	0	0	0	0	0	0	0	0	0	0	0	15.0415	0	0	1.5586	0	0	1.4785	0	0
SPATA31A5	0	0	0	0	0	0	0	0	0	0	0	0	5.7054	0	0	2.0782	0.4615	0	1.4785	0	0
SPATA31A6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPATA31B1P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPATA31C1	0.3175	0	0	0	0.4879	0	0	0	0.3007	0.2794	0.6303	0	2.0747	0.7713	0	0	0.4615	0.8237	0	0	0
SPATA31D1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPATA31D3	0	0	0	0	0	0	0	0	0	0.2794	0	0	0	0	0	0	0	0	0	0	0
SPATA31D4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPATA31D5P	0	0.7522	0	0	0	0.449	0	0	0	0	0.3152	0.7297	0	0	0	0	0	0	0	0	0.6423
SPATA31E1	0.3175	0	0	0	0	0	0	0	0	0.2794	0	0	0	0	0	0	0	0	0.3696	0.4278	0
SPATA32	0.6349	1.1283	0.5092	3.0928	2.4395	2.2452	0.4067	1.0734	1.2027	3.3534	0.9455	2.189	4.668	3.4709	1.0432	2.5977	2.3076	0.8237	2.9569	8.983	6.1015
SPATA33	147.3016	97.7903	53.4623	51.5464	70.7453	74.0907	50.0203	80.1503	84.1912	111.5002	175.2285	490.332	526.971	124.5661	273.32	277.4386	290.2965	203.8715	538.5326	114.6401	129.7367
SPATA4	16.8254	6.0179	1.5275	0.5155	7.3185	1.3471	0.4067	6.7985	3.9089	6.4273	0.6303	2.5538	0	1.5426	1.0432	0	0	0	0.3696	0.4278	3.2113
SPATA41	43.1746	21.8148	21.3849	24.7423	17.5643	18.4104	22.3668	17.5329	23.1526	12.8547	33.0917	11.3097	23.3402	6.1705	3.1296	5.715	3.6922	5.3542	5.1746	6.8442	4.1747
SPATA45	0.3175	2.2567	2.0367	0	2.4395	0.449	0	0.7156	0.3007	0.5589	0	0	0.5187	1.157	0	0.5195	0.923	0.8237	2.2177	0	0.6423
SPATA5	193.3333	154.2078	224.0326	166.4948	207.8447	249.2142	279.3819	230.4321	232.127	205.9539	398.3612	299.5257	187.7593	294.2538	231.9395	786.5957	307.8343	280.4778	212.8996	236.5522	181.4387
SPATA5L1	170.7937	134.2736	117.1079	122.6804	141.0026	169.7351	191.9479	125.9504	125.3847	176.8912	250.2364	202.8457	144.1909	155.0328	204.8161	275.88	325.3721	180.3954	162.2621	156.133	118.176
SPATA6	122.5397	85.7546	102.3422	134.0206	120.9988	130.22	186.2546	183.9163	159.3618	166.8311	124.1727	128.0555	39.9378	32.3949	92.1499	21.821	31.3834	55.6013	22.5467	32.5099	60.0514
SPATA6L	130.4762	31.9699	30.0407	14.433	42.4472	50.2919	40.2603	90.5269	45.4031	33.8133	136.7791	10.9449	42.5311	28.5384	3.8251	5.1955	4.1537	14.4152	5.1746	12.8329	66.1529
SPATA7	216.8254	235.0729	253.5642	244.3299	257.1224	250.1123	306.6287	346.7215	189.1294	212.9402	118.4998	111.6381	137.9668	134.2075	89.7157	81.0495	146.7636	95.5519	73.1843	97.1019	134.8748
SPATA8	0.6349	2.2567	0	13.4021	0	0	0.4067	0.3578	0.3007	0.2794	0	0.7297	0	1.5426	0	0	0	0	0.3696	2.1388	0.6423
SPATA9	9.5968	21.3521	35.1324	50.7062	55.6204	23.3498	68.3977	11.4715	14.4328	5.9467	1.9067	2.5538	5.7054	5.0135	4.8683	7.2737	2.3261	1.2356	4.4354	4.2776	2.8902
SPATC1	1.9048	3.385	1.5275	0	0.9758	0.8981	1.22	2.1469	1.2027	3.0739	0.9455	4.7428	3.6307	7.3274	1.7387	1.5586	6.9228	2.4712	2.5873	4.2776	2.8902
SPATC1L	71.746	189.5628	81.4664	107.732	88.3096	94.2973	24.4002	57.608	81.485	171.5817	368.1059	4.378	83.5062	22.3679	193.6886	702.9484	260.2977	144.9753	52.8553	266.9233	186.2556
SPATS1	0	0.7522	1.2729	0	0	0	0	0.7156	0	1.8667	0.1986	0	0	1.157	0	0	0	0	0	0.4278	1.4515
SPATS2	507.3016	318.1946	222.5051	259.7938	295.6664	452.6269	268.4018	526.344	411.0333	642.4533	1611.4088	1038.672	465.7676	815.6575	1373.207	689.9597	548.2866	515.6507	793.5687	745.5887	805.7161
SPATS2L	1706.0317	1255.4772	1978.1059	1559.2784	1558.835	1529.8608	2251.3217	1584.7571	1582.4931	1704.6391	2634.4154	3479.7519	1920.1245	1961.4346	1517.8649	1288.9986	2553.5941	1044.8929	1554.611	1759.384	3592.4855
SPC24	3.8095	1.5045	1.5275	2.0619	0	1.7961	1.6267	0.3578	2.1048	11.178	54.8377	36.8479	14.5228	18.897	54.2467	38.4466	25.8452	33.3608	104.2321	15.3994	64.5472
SPC25	24.4444	20.3103	2.0367	21.6495	6.3427	6.7355	1.6267	8.2297	12.328	49.183	500.1576	203.2105	244.8133	164.6741	578.9794	464.4759	232.6064	432.0428	386.6198	131.3229	138.7283
SPCS1	2404.6762	2014.7776	1264.1599	1353.0258	1519.2811	1434.6655	1389.5893	2011.2711	1870.7966	1857.7772	868.7394	1372.054	1266.5975	2907.8288	1423.9764	1737.3685	1251.5657	1310.5231	1239.6526	2016.8966	1144.1875
SPCS2	642.2222	650.6817	340.1222	543.8144	418.6167	404.5802	450.183	664.4601	640.7548	651.6752	921.5254	978.8398	950.7261	1202.8538	997.6528	398.4933	489.6735	726.112	1023.1011	784.0873	611.4322
SPCS2P4	1587.9365	1397.6493	1067.7189	1336.5979	1178.7623	1065.559	1206.588	1893.5504	1593.0169	1517.4083	2146.8642	1885.4433	1561.2033	2484.7667	2199.0785	892.0639	1132.5718	2016.8863	2036.2225	1858.6247	1312.781
SPCS3	2403.8095	2471.8383	1703.1568	2719.5876	2291.1704	1897.1711	2400.1627	3025.3153	2741.6249	3090.9858	863.8512	2784.3853	1425.8299	3248.7466	2406.3288	1027.1464	2643.5906	1543.6573	1970.4306	3789.1135	2992.9351
SPDEF	4144.127	1876.4457	15.7841	0.5155	658.1748	718.4553	3.2534	406.8342	1061.4099	2044.7286	487.8664	119.2995	1096.473	365.5997	179.7792	98.1946	7.3843	15.6507	660.1368	708.3734	79.6403
SPDL1	172.381	104.5604	101.833	116.4948	138.0752	132.4652	97.194	163.1631	135.9086	210.7046	449.7321	326.5232	489.1079	283.8411	380.0748	582.4133	514.5956	680.3954	454.6295	265.2123	338.1503
SPDYA	11.1619	12.284	4.4705	4.7938	5.3815	10.8083	5.8113	9.0133	10.6081	7.791	9.7132	6.4538	36.0788	11.9938	6.5305	6.8944	14.3394	15.7578	7.2926	5.0176	26.1721
SPDYC	0	0	0	0	0	0	0	0	0.3007	0	0.3152	7.2966	21.7842	0.7713	0	0.5195	0	5.3542	4.805	0	8.3494
SPDYE1	13.7778	9.779	11.2016	16.4948	11.2217	6.2865	10.3579	5.3672	9.9225	8.3835	4.0971	6.5669	16.5975	8.4844	9.7366	4.1564	8.7689	5.453	5.5443	9.4108	7.7071
SPDYE2	1.2698	0.3761	0.5092	0	0.4879	0	0	1.0734	0.6014	0.2794	1.2606	0	4.668	1.9283	1.0432	0	0.923	1.2356	1.1089	0.8555	3.5324
SPDYE3	63.4127	84.4344	120.0764	42.0103	106.5228	88.9582	91.8585	65.988	88.2834	73.6208	45.8052	87.5119	46.9761	71.6313	48.523	91.295	43.3506	71.0544	48.4495	80.4919	66.3969
SPDYE4	0	0	0	0	0	0	0	0	0	0	0	0	0.5187	0	0	0	0	0	0	0	0.6423
SPDYE5	6.3492	4.8895	2.0367	7.2165	1.9516	4.0413	8.5401	9.3032	3.3075	9.2218	5.3577	3.2835	20.2282	10.7983	11.1275	14.5473	16.1532	7.0016	7.0227	7.6997	8.9917
SPDYE6	23.1746	22.567	12.7291	22.6804	11.7096	15.2672	11.3867	17.1751	22.2505	13.693	18.9095	15.3229	66.39	34.3232	38.9464	16.106	44.7675	22.6524	18.4809	35.932	33.7187
SPDYE7P	3.8095	2.2567	2.0367	7.2165	3.4153	3.1432	4.4734	6.0828	3.9089	3.9123	3.7819	3.6483	15.0415	8.87	7.6502	5.715	8.7689	4.9423	3.3266	8.983	8.0283
SPECC1	303.4921	481.4292	557.5356	419.0722	420.5683	515.4917	338.7556	331.6934	429.9763	406.0395	428.9316	570.9595	525.4149	863.0929	235.0691	230.6793	388.6004	552.7183	640.1774	282.3227	949.9037
SPECC1L	1703.4921	1750.4466	1932.2811	1826.2887	2332.1538	1873.8213	1398.1293	2083.5495	2167.3209	2208.7652	2879.6092	1757.7526	945.5394	836.4828	2104.1467	2725.5488	1565.0167	812.1911	2952.5042	1253.3419	1649.0045
SPEF1	31.746	16.5491	0.5092	2.0619	2.9274	2.6942	0.8133	1.0734	7.5171	8.104	1.5758	4.378	5.1867	23.1392	1.7387	10.9105	2.3076	3.7068	5.9139	4.2776	3.2113
SPEF2	211.1111	129.7602	70.2648	61.3402	125.8778	173.7764	162.6678	293.7651	166.2775	193.0993	62.7167	174.3889	103.7344	105.2835	25.7324	105.9878	18.9223	134.6787	62.4653	111.6458	94.4123
SPEG	774.2857	376.4927	43.279	63.9175	188.3287	406.8253	53.2737	349.2262	527.6981	399.6121	110.3057	553.8125	449.1701	154.6471	1031.0354	613.0666	1262.7207	290.7743	225.4666	148.0056	1561.9782
SPEM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4615	1.2356	0	0	0
SPEN	1821.5873	1926.4692	3145.112	2303.0928	2500.4788	3146.8343	3371.2891	3016.37	2635.4839	3041.2439	3884.3366	2630.7917	1153.527	1616.6602	3230.8094	2549.422	3045.1136	1679.5717	1465.5332	2297.5083	4165.061
SPERT	1.2698	1.8806	0	0	0	0	0	0	0.902	0	0	0	0	0	0.3477	0	0	0.4119	0	4.7054	19.9101
SPESP1	31.4381	45.5101	54.9898	58.7629	51.6294	10.3278	72.257	24.3313	28.2131	14.5258	2.8364	6.9318	15.0415	11.9553	219.0246	360.5663	1.8461	2.0593	7.762	14.9717	134.8426
SPG11	1800	1481.5233	1898.6762	1764.9485	1923.2951	1902.5595	2270.4351	2134.7169	1009.0911	2229.7239	851.56	903.6848	582.4689	989.5874	830.7398	415.6384	1071.6511	502.0593	707.0782	1578.8686	1261.7213
SPG20	1688.8889	1578.9375	2554.4807	2201.5464	1757.8975	1443.1971	2750.305	2243.1344	1860.3239	1755.4989	2184.3681	1121.4885	1080.3942	869.2634	2308.9629	459.2804	430.1373	817.1334	1275.5498	1061.2769	1683.3654
SPG21	1743.8095	2135.59	1947.556	1872.1649	1642.2657	1513.6956	2071.5738	2206.2796	1987.212	1869.7935	4213.9931	2402.7727	2664.4191	2379.0976	3717.9866	1419.4051	2032.0757	4468.2867	3488.4495	1863.3301	1778.42
SPG7	1342.5397	1266.3846	1042.2607	863.9175	841.6246	1244.7238	863.7658	697.379	1015.4055	1136.2398	547.7466	1051.8059	2272.3029	1030.4666	1534.5562	682.1665	1122.8799	1002.883	1975.2356	1124.5856	850.9955
SPHAR	163.7238	119.1161	41.0642	100.6031	114.378	93.0579	134.2578	164.5514	157.5156	115.7757	61.1882	126.2277	188.8019	117.7092	182.4741	296.1683	75.3894	136.9605	70.2273	99.2065	271.1753
SPHK1	418.7016	324.4156	88.2026	124.3196	134.9819	222.6089	29.939	201.8427	352.9714	397.3961	173.971	320.5691	458.527	1081.2881	2853.6834	507.1308	597.4663	1520.8031	831.0072	357.6644	567.8998
SPHK2	314.6476	304.5266	197.057	197.933	190.2852	195.8015	182.2041	91.2497	201.2379	243.4448	213.6842	388.1904	211.722	288.8932	220.8641	328.5258	275.1494	254.6952	360.5951	274.7642	278.7765
SPHKAP	63.1746	12.788	4.0733	0	12.1975	188.1455	1.22	108.4176	92.911	161.2421	400.8824	25.5381	7.7801	1.9283	2.7819	4.1564	0	23.0643	34.744	420.9175	23.1214
SPI1	518.4127	684.5322	505.6008	1063.9175	557.6677	300.4041	194.388	213.6148	476.8828	530.1148	59.8802	740.9704	534.2324	1356.344	465.2699	215.0929	741.6638	579.4893	469.7838	1558.336	756.8979
SPIB	13.9683	96.2858	3.5642	1.0309	4.879	1.3471	1.22	4.6516	5.1116	30.7394	6.6183	4516.5998	170.6432	838.4111	168.6517	12.9887	35.5371	13.5914	51.7464	1923.2168	125.2408
SPIC	0.9524	0	1.0183	0	0	0	0	0	0.3007	0.8383	104.6328	95.5856	2.0747	1.9283	0	0	0.923	0	0	3.8499	1.2845
SPICE1	403.4921	239.2102	163.9511	204.6392	219.5542	352.4921	246.8483	339.5653	296.4731	329.7499	542.0737	304.2685	398.8589	266.8723	181.8656	348.6167	396.9078	588.9621	293.4763	238.691	435.4528
SPIDR	1171.746	792.4777	655.8045	630.9278	708.4283	894.4769	780.3985	750.6933	929.7109	1047.9339	2072.8018	1574.243	805.4979	1727.3428	1209.4236	697.753	535.8255	1028.4185	1643.6888	886.3223	1336.5446
SPIN1	2308.8889	1978.3733	2476.5784	2098.9691	2755.1617	2634.9349	2508.3367	4216.8351	2961.1232	3097.1337	6704.6959	3187.5228	3341.805	1674.5083	2963.0531	2413.82	2796.354	1817.9572	3515.0619	2050.262	4286.4483
SPIN2A	2.8571	4.5134	26.4766	11.8557	6.8306	4.9394	4.0667	6.0828	6.3143	9.5013	0	1.0945	1.0373	2.6996	0.3477	2.0782	1.8461	0	0.7392	2.1388	3.5324
SPIN2B	156.6	103.4471	94.0479	74.0619	86.1921	128.4104	56.0187	114.207	117.2602	85.1286	93.0413	66.9865	197.8423	99.7416	160.1356	173.9395	88.672	75.1565	138.2702	107.8345	25.2408
SPIN3	283.1746	212.5059	236.7617	223.1959	254.195	309.3848	315.9821	445.1203	265.2021	340.3689	455.405	186.4283	212.6556	259.9306	418.6734	315.3656	311.988	203.4596	286.4535	329.3765	251.124
SPIN4	96.8254	93.653	38.1874	94.3299	112.7045	119.4432	97.6007	243.3134	178.3048	253.1808	1652.3795	449.1062	146.2656	165.4454	384.2476	260.8131	403.3691	368.2043	483.8292	195.9149	376.6859
SPINK1	23.1746	0.7522	0	0	0	0	0	2.8625	0.3007	0.2794	1.5758	5.4725	1.556	5.0135	0.3477	1.0391	0.4615	0.8237	1.1089	0	5.7803
SPINK13	0	0	0	0	0	0	0	0	0	0.2794	0.3152	0	0	0	0	0	0	0	0	0	0
SPINK14	0.3175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPINK2	2.2222	3.7612	1.0183	0	0.4879	5.3884	1.22	3.2203	6.0137	8.104	3.1516	0.3648	14.0041	10.027	4.1728	1.5586	0	0.8237	1.8481	8.5552	3.5324
SPINK4	1.2698	0	0	0	0.9758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4278	0
SPINK5	52.381	86.1307	2.0367	11.8557	23.907	2.2452	8.1334	12.5235	15.6355	82.9964	0.6303	165.2682	14.5228	7.3274	50.4216	3.1173	1.8461	2.0593	1.1089	111.2181	0.3211
SPINK6	0	0	0	0.5155	0	0.449	0.4067	0	1.2027	0.2794	0	1.4593	0.5187	0.7713	0.3477	0	0	0	0	0	0
SPINK7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPINK8	31.746	157.5929	0	0	11.7096	1.3471	0	18.9641	0	52.8159	0	0	16.5975	0	0	0	0	0	0.3696	5.5609	0
SPINK9	0	0	0	0	0	0	0	0.3578	0	0	0	0	0	0	0	0	0	0	0	0	0
SPINT1	3883.8095	2331.1707	128.3096	75.7732	1130.4603	2152.2227	13.4201	2552.6433	2199.494	3389.9963	1712.2597	3882.1598	1676.8672	2817.2002	5023.3852	3017.0152	5174.5702	4536.6557	3526.5201	3920.0086	4702.6333
SPINT2	12158.0952	5926.4692	372.7088	385.567	2237.9895	3101.9308	66.2871	3411.7542	5400.2613	7120.3615	6969.1144	10535.9358	19066.9087	16191.6699	9039.7288	6371.217	4596.7463	9967.8748	12324.8937	14880.1198	19549.1329
SPINT3	0	1.8806	0	0	0	0	0	0	0.3007	0.8383	0	0	0	0	0	0	0	0	0	0	0
SPINT4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPIRE1	640	648.8011	883.9104	800	900.1724	824.8765	786.0919	1062.349	742.6863	915.1956	682.6347	1507.8439	467.8423	920.1697	519.1689	1154.9552	583.3622	726.9357	822.3988	922.6821	556.1978
